date,flow,power,sludge_wet,sludge_moisture,chemical,pac,pam,mlss,power_rate,chemical_rate,ss_in,ss_out,bod_in,bod_out,cod_in,cod_out,cod_reduction,ph_in,ph_out,tn_in,tn_out,tp_in,tp_out,nh3_in,nh3_out,nh3_reduction,color_in,color_out,carbon,month,month_sin,month_cos,doy_sin,doy_cos,dow_sin,dow_cos
2024-02-26,28468.2,7206.665046780001,11.028,75.0,41.7968,1350.0,38.4,4062.0,3.8,151.1,4.6,77.02000000000001,2.84,171.7,6.44,4689.363340000001,7.442,25.55,10.768,1.8559999999999999,0.31000000000000005,16.004,0.10400000000000001,452.48243599999995,512.0,0.8587,0.21737810172999997,1.54,0.29847588628924504,2,0.8660254037844386,0.5000000000000001,0.810920220918683,0.5846509092704706,-0.35135187892997066,-0.08019377358048389
2024-02-27,28197.8,7138.21385462,12.998,75.0,49.196799999999996,1335.0,38.0,4080.8,3.8,154.0,4.6,85.38000000000001,2.88,188.0,6.44,5105.89124,7.324,26.948,10.354,1.89,0.30400000000000005,16.574,0.10800000000000001,464.17121799999995,512.0,0.8587,0.21737810172999997,1.54,0.2987833531867863,2,0.8660254037844386,0.5000000000000001,0.8208571554579427,0.5706153001270544,-0.2817623302598763,0.22469796037174664
2024-02-28,28168.4,7130.7713063599995,13.038,75.0,49.388400000000004,1330.0,37.9,4114.0,3.8,154.2,4.9,92.34,3.0,199.35999999999999,6.840000000000001,5416.23416,7.302,27.845999999999997,9.644,1.938,0.29000000000000004,17.22,0.10400000000000001,482.392858,512.0,0.8587,0.21737810172999997,1.54,0.2985909869817954,2,0.8660254037844386,0.5000000000000001,0.8305511851585807,0.5564108367360132,-4.4408920985006264e-17,0.3603875471609676
2024-02-29,28318.4,7168.743491359999,14.517999999999997,75.0,55.09079999999999,1340.0,38.0,4163.6,3.8,154.6,5.2,98.97999999999999,2.96,211.06,6.959999999999999,5779.5054199999995,7.286,27.814,8.846,1.8399999999999999,0.28600000000000003,16.818,0.10800000000000001,473.264876,512.0,0.8587,0.21737810172999997,1.54,0.2990357375634205,2,0.8660254037844386,0.5000000000000001,0.8399994414012466,0.5420417224265924,0.2817623302598763,0.22469796037174666
2024-03-01,28499.2,7490.05281228,14.462,75.0,54.894000000000005,1345.0,38.2,4137.2,3.8,154.8,5.1,90.47999999999999,3.04,191.66,7.2,5246.23138,7.266,27.596000000000004,8.034,1.706,0.29400000000000004,16.636000000000003,0.10800000000000001,470.913958,512.0,0.8587,0.22547856231000002,1.54,0.3069115679161496,3,0.8928203230275509,0.4000000000000001,0.8491991282949105,0.5275122092508928,0.35135187892997066,-0.08019377358048381
2024-03-02,28687.4,7808.188558659999,14.312000000000001,75.0,54.294000000000004,1355.0,38.6,4167.2,3.8,151.0,4.9,87.82,3.1,186.4,7.18,5135.765099999999,7.276000000000001,27.346000000000004,7.4799999999999995,1.7380000000000002,0.304,16.956,0.10800000000000001,483.12530399999997,512.0,0.8587,0.23357902289000002,1.54,0.31504066369815426,3,0.9196152422706632,0.30000000000000016,0.8581475235042115,0.5128265967256206,0.15636629649360598,-0.3246979603717467
2024-03-03,29563.2,8330.104011079999,10.614,75.0,40.294,1395.0,39.8,4174.8,3.8,147.5,4.9,81.91999999999999,3.08,175.28,7.42,4945.46336,7.303999999999999,26.564,7.0840000000000005,1.73,0.306,16.696,0.10400000000000001,489.91075,512.0,0.8587,0.24167948347,1.54,0.3222808977919994,3,0.9464101615137753,0.2000000000000001,0.8668419790550417,0.49798923055979055,-0.15636629649360595,-0.32469796037174675
2024-03-04,29960.2,8719.70913718,8.889999999999999,75.0,33.7024,1415.0,40.3,4167.4,3.8,149.0,4.8,85.1,3.2,181.06,7.4799999999999995,5193.7328,7.302000000000001,27.146000000000004,6.837999999999999,1.7899999999999998,0.31600000000000006,17.216,0.094,512.96221,512.0,0.8587,0.24977994405,1.54,0.33006858535389244,3,0.9732050807568877,0.10000000000000006,0.8752799221181231,0.48300450136876155,-0.35135187892997066,-0.08019377358048389
2024-03-05,29939.8,8991.36804302,8.966,75.0,33.991200000000006,1415.0,40.2,4146.2,3.8,148.0,4.5,84.08000000000001,3.2,179.76,7.4399999999999995,5152.5475400000005,7.312,27.5,6.636,1.8399999999999999,0.30400000000000005,17.474,0.09,520.307472,512.0,0.8587,0.25788040463,1.54,0.3382364132415782,3,1.0,6.123233995736766e-17,0.8834588557703498,0.46787684337498237,-0.2817623302598763,0.22469796037174664
2024-03-06,30266.4,9089.45088936,11.272,75.0,42.7912,1435.0,40.6,4205.4,3.8,143.7,4.5,84.16,3.12,178.82,7.3,5168.764260000001,7.324000000000001,27.214,6.756,1.908,0.28800000000000003,17.446,0.094,524.379562,512.0,0.8587,0.25788040463,1.54,0.3388991491646256,3,1.0,6.123233995736766e-17,0.8913763597336679,0.45261073309583394,-4.4408920985006264e-17,0.3603875471609676
2024-03-07,31058.0,9327.180164200001,14.680000000000001,75.0,55.7968,1475.0,41.6,4186.2,3.8,144.5,4.5,80.02000000000001,3.0200000000000005,169.08,7.18,5001.448740000001,7.3100000000000005,27.360000000000003,6.886,1.9200000000000004,0.292,17.186,0.08,530.3871579999999,512.0,0.8587,0.25788040463,1.54,0.3396006646355877,3,1.0,6.123233995736766e-17,0.8990300910912741,0.437210688018956,0.2817623302598763,0.22469796037174666
2024-03-08,30708.2,9222.13001218,18.413999999999998,75.0,69.9968,1460.0,41.0,4182.8,3.8,142.7,4.2,79.82000000000001,3.02,166.92,6.9399999999999995,4895.18748,7.303999999999999,27.298000000000002,6.878,1.9120000000000001,0.2880000000000001,17.156,0.08399999999999999,523.848262,512.0,0.8587,0.25788040463,1.54,0.3404015559593146,3,1.0,6.123233995736766e-17,0.906417784980923,0.4216812652654497,0.35135187892997066,-0.08019377358048381
2024-03-09,30480.4,9153.71827796,18.270000000000003,75.0,69.49,1450.0,40.7,4170.6,3.8,139.4,4.0,75.25999999999999,2.8200000000000003,158.5,6.540000000000001,4610.1486,7.322,26.304000000000002,6.787999999999999,1.848,0.2800000000000001,16.496000000000002,0.098,499.44943,512.0,0.8587,0.25788040463,1.54,0.34043240776884026,3,1.0,6.123233995736766e-17,0.9135372552651363,0.406027060241352,0.15636629649360598,-0.3246979603717467
2024-03-10,31025.6,9317.449961440001,16.454,75.0,62.58919999999999,1475.0,41.6,4189.2,3.8,139.2,4.1,73.8,2.82,156.92000000000002,6.58,4667.2881,7.314,25.936,6.578,1.8240000000000003,0.2800000000000001,16.14,0.098,497.91663,512.0,0.8587,0.25788040463,1.54,0.3399984663483383,3,1.0,6.123233995736766e-17,0.9203863951781155,0.3902527052777818,-0.15636629649360595,-0.32469796037174675
2024-03-11,31329.4,9408.68562806,16.15,75.0,61.3808,1490.0,42.1,4152.4,3.8,140.6,4.3,79.41999999999999,2.82,169.96,6.58,5126.0961,7.292,26.340000000000003,6.164,1.864,0.28200000000000003,16.28,0.098,507.104424,512.0,0.8587,0.25788040463,1.54,0.33993336778631644,3,1.0,6.123233995736766e-17,0.9269631779491683,0.37436286826015747,-0.35135187892997066,-0.08019377358048389
2024-03-12,30894.4,9278.04864656,14.122,75.0,53.674400000000006,1470.0,41.5,4175.4,3.8,137.8,4.5,86.0,2.9,182.88,6.540000000000001,5461.1803199999995,7.31,26.958000000000006,6.15,1.904,0.28200000000000003,16.47,0.10800000000000001,505.409184,512.0,0.8587,0.25788040463,1.54,0.33964501739291436,3,1.0,6.123233995736766e-17,0.9332656574024624,0.35836225124689564,-0.2817623302598763,0.22469796037174664
2024-03-13,31093.6,9337.871374639999,14.030000000000001,75.0,53.2744,1480.0,41.9,4157.4,3.8,142.4,4.6,85.6,2.9,182.82000000000002,6.68,5480.6828399999995,7.3,26.889999999999997,6.208,1.888,0.28600000000000003,16.412,0.10800000000000001,506.71458599999994,512.0,0.8587,0.25788040462999995,1.54,0.3396376848954111,3,1.0,6.123233995736766e-17,0.9392919685329304,0.3422555890779956,-4.4408920985006264e-17,0.3603875471609676
2024-03-14,31250.0,9384.840625,15.884,75.0,60.3812,1485.0,42.0,4157.8,3.8,143.2,4.9,90.2,3.04,189.68,7.1,5702.69816,7.290000000000001,27.752,6.186,1.972,0.28600000000000003,16.592000000000002,0.10800000000000001,514.7364379999999,512.0,0.8587,0.25788040462999995,1.54,0.3398548563195545,3,1.0,6.123233995736766e-17,0.9450403280581551,0.32604764797392444,0.2817623302598763,0.22469796037174666
2024-03-15,30994.2,9308.020073579999,17.857999999999997,75.0,67.88239999999999,1470.0,41.5,4076.6,3.8,141.0,5.4,84.4,3.2399999999999998,178.0,7.44,5283.46472,7.294,27.526,6.374,1.9400000000000002,0.29400000000000004,16.442,0.10400000000000001,506.058476,512.0,0.8587,0.25788040463,1.54,0.3400862715117853,3,1.0,6.123233995736766e-17,0.9505090349460703,0.30974322412521554,0.35135187892997066,-0.08019377358048381
2024-03-16,30116.2,9044.34359138,15.39,75.0,58.49079999999999,1425.0,40.4,4064.8,3.8,140.3,5.3,82.7,3.22,173.5,7.58,4990.02008,7.284000000000001,27.218,6.69,1.8720000000000003,0.292,16.222,0.1,485.9424,512.0,0.8587,0.25788040463,1.54,0.3395073604512627,3,1.0,6.123233995736766e-17,0.9556964709183251,0.2933471422731988,0.15636629649360598,-0.3246979603717467
2024-03-17,30086.4,9035.394207360001,14.080000000000002,75.0,53.49159999999999,1425.0,40.3,4069.2,3.8,147.5,5.0,83.46,3.2399999999999998,175.28,7.74,5033.10242,7.281999999999999,26.524,6.83,1.798,0.2840000000000001,16.176,0.09,484.332792,512.0,0.8587,0.25788040463,1.54,0.3393292189809087,3,1.0,6.123233995736766e-17,0.9606011009291576,0.2768642542822817,-0.15636629649360595,-0.32469796037174675
2024-03-18,30379.0,9123.266347100001,14.14,75.0,53.691599999999994,1440.0,40.7,4066.0,3.8,147.0,5.1,82.42,3.34,172.60000000000002,7.959999999999999,4976.23588,7.287999999999999,26.842000000000002,7.12,1.798,0.2800000000000001,16.084,0.094,485.68923400000006,512.0,0.8587,0.25788040463,1.54,0.33936339231672724,3,1.0,6.123233995736766e-17,0.9652214736196394,0.26029943770420483,-0.35135187892997066,-0.08019377358048389
2024-03-19,30641.4,9202.06897686,14.436000000000002,75.0,54.691599999999994,1455.0,41.3,4096.6,3.8,145.8,4.9,81.53999999999999,3.06,171.44,7.88,4995.76652,7.284000000000001,26.258000000000003,7.258,1.746,0.28800000000000003,15.882,0.08,484.29544999999996,512.0,0.8587,0.25788040463,1.54,0.3395307234565106,3,1.0,6.123233995736766e-17,0.9695562217471568,0.24365759433469608,-0.2817623302598763,0.22469796037174664
2024-03-20,30332.4,9109.27167276,12.698,75.0,48.1,1440.0,40.9,4139.0,3.8,148.2,4.8,87.02,3.04,182.08,7.88,5266.1975,7.264,26.53,7.17,1.798,0.28,15.941999999999998,0.084,481.10670200000004,512.0,0.8587,0.25788040463,1.54,0.3391963169840332,3,1.0,6.123233995736766e-17,0.9736040625899998,0.22694364876294998,-4.4408920985006264e-17,0.3603875471609676
